Team,Line Posisition,Status,Players
Fnatic ONIC,Exp ,Main,Lutpiii
Fnatic ONIC,Jungler,Main,Kairi
Fnatic ONIC,Middle,Main,Sanz
Fnatic ONIC,Gold Lane,Main,CW
Fnatic ONIC,Roamer,Main,Kiboy
Fnatic ONIC,Exp ,Substitute,Butsss
Fnatic ONIC,Flex,Substitute,Alberttt
Fnatic ONIC,Coach,Coach,Yeb
Fnatic ONIC,Analisis,Analisis,Adi
EVOS Glory,Exp ,Main,Fluffy
EVOS Glory,Jungler,Main,Anavel
EVOS Glory,Middle,Main,Claw Kun
EVOS Glory,Gold Lane,Main,Branz
EVOS Glory,Roamer,Main,Dreams
EVOS Glory,Roamer,Substitute, Panser
EVOS Glory,Coach,Coach,G
EVOS Glory,Analisis,Analisis,Caleb
EVOS Glory,Asisten Coach,Asisten Coach,Theo
Liquid Echo,Exp ,Main,Sanford
Liquid Echo,Jungler,Main,KarlTzy
Liquid Echo,Middle,Main,Sanji
Liquid Echo,Gold Lane,Main,Bennyqt
Liquid Echo,Roamer,Main,Jaypee
Liquid Echo,Jungler,Substitute,Zaida
Liquid Echo,Coach,Coach,Tictac
Liquid Echo,Analisis,Analisis,Cjay
Falcons AP.Bren,Exp ,Main,FlapTzy
Falcons AP.Bren,Jungler,Main,KyleTzy
Falcons AP.Bren,Middle,Main,Pheww
Falcons AP.Bren,Gold Lane,Main,Super Marco
Falcons AP.Bren,Roamer,Main,Owgwen
Falcons AP.Bren,Exp ,Substitute,Pandora
Falcons AP.Bren,Coach,Coach,Duckey
Falcons AP.Bren,Analisis,Analisis,Trebor
Entity7,Exp ,Main,Markinho
Entity7,Jungler,Main,Hide on bush
Entity7,Middle,Main,Chan
Entity7,Gold Lane,Main,Fury
Entity7,Roamer,Main,Erwin
Entity7,Flex,Substitute, Crissangel
Entity7,Coach,Coach,Blackjax
Entity7,Analisis,Analisis,Arvoinen
Team Falcons,Exp ,Main,Ding
Team Falcons,Jungler,Main,KENJI
Team Falcons,Middle,Main,Goodnight
Team Falcons,Gold Lane,Main,LarK
Team Falcons,Roamer,Main,Super
Team Falcons,Exp ,Substitute, Alpho
Team Falcons,Coach,Coach,Zico
Team Falcons,Analisis,Analisis,Paoweeburn
Twisted Minds,Exp ,Main,Sanji
Twisted Minds,Jungler,Main,7oda
Twisted Minds,Middle,Main,Cuffin
Twisted Minds,Gold Lane,Main,Saano
Twisted Minds,Roamer,Main,Trolll
Twisted Minds,Jungler,Substitute,Tarzan
Twisted Minds,Roamer,Substitute,Maro
Twisted Minds,Coach,Coach,Lyrick
Twisted Minds,Analisis,Analisis,Mike Sama
Selangor Red Giants,Exp ,Main,Kramm
Selangor Red Giants,Jungler,Main,Sekys
Selangor Red Giants,Middle,Main,Stormie
Selangor Red Giants,Gold Lane,Main,Innocent
Selangor Red Giants,Roamer,Main,YumS
Selangor Red Giants,Exp ,Substitute,Gojes
Selangor Red Giants,Coach,Coach,Arcadia
Selangor Red Giants,Analisis,Analisis,OzoraVeki
NIP Flash,Exp ,Main,Diablo
NIP Flash,Jungler,Main,Hadess
NIP Flash,Middle,Main,KurtTzy
NIP Flash,Gold Lane,Main,Vanix
NIP Flash,Roamer,Main,Lolsie
NIP Flash,Exp ,Substitute,Pooskie
NIP Flash,Roamer,Substitute,JPL
NIP Flash,Coach,Coach,Adammir
NIP Flash,Analisis,Analisis,Zarate
See You Soon,Exp ,Main,Felix
See You Soon,Jungler,Main,MP the King
See You Soon,Middle,Main,Raa
See You Soon,Gold Lane,Main,Souuul
See You Soon,Roamer,Main,Boxi
See You Soon,Exp ,Substitute,Trabot
See You Soon,Coach,Coach,CatGod
See You Soon,Analisis,Analisis,PARAGON
RRQ Akira,Exp,Main,Tekashi
RRQ Akira,Jungler,Main,Kiing
RRQ Akira,Middle,Main,Seigen
RRQ Akira,Gold Lane,Main,Gustalagusta
RRQ Akira,Roamer,Main,Luiizz
RRQ Akira,Roamer,Substitute,Blink
RRQ Akira,Coach,Coach,Cabral
RRQ Akira,Analisis,Analisis,Ybig
Team Spirit,Exp,Main,Kid Bomba
Team Spirit,Jungler,Main,Marl
Team Spirit,Middle,Main,Sunset Lover
Team Spirit,Gold Lane,Main,Hiko
Team Spirit,Roamer,Main,SAWO
Team Spirit,Exp,Substitute,Solist
Team Spirit,Coach,Coach,Lil
Team Spirit,Analisis,Analisis,Vren
Fire Flux Esports,Exp,Main,Alien
Fire Flux Esports,Jungler,Main,Tienzy
Fire Flux Esports,Middle,Main,Rosa
Fire Flux Esports,Gold Lane,Main,Sunshine
Fire Flux Esports,Roamer,Main,APEX47
Fire Flux Esports,Flex,Substitute, Finarfin
Fire Flux Esports,Coach,Coach,Ospreay
Fire Flux Esports,Analisis,Analisis,Badgalseph
Cloud9,Exp,Main,Mielow
Cloud9,Jungler,Main,MobaZane
Cloud9,Middle,Main,Marqt
Cloud9,Gold Lane,Main,Basic
Cloud9,Roamer,Main,Cole World
Cloud9,Flex,Substitute,Kevy
Cloud9,Coach,Coach,Midnight
Cloud9,Analisis,Analisis,Sir Rose
Falcon Esports,Exp,Main,Royal Milk
Falcon Esports,Jungler,Main,Daxx
Falcon Esports,Middle,Main,Px7
Falcon Esports,Gold Lane,Main,Beni
Falcon Esports,Roamer,Main,KidX
Falcon Esports,Roamer,Substitute,J3X
Falcon Esports,Coach,Coach,Kalama
Falcon Esports,Analisis,Analisis,Ar Sy
S2G Esports,Exp,Main,Lunar
S2G Esports,Jungler,Main,Kazue
S2G Esports,Middle,Main,Begin
S2G Esports,Gold Lane,Main,Sigibum
S2G Esports,Roamer,Main,Qaro
S2G Esports,Flex,Substitute,Arion
S2G Esports,Coach,Coach,Demigod
S2G Esports,Analisis,Analisis,Boranxcaglar
KeepBest Gaming,Exp,Main,Siyu
KeepBest Gaming,Jungler,Main,Saxa
KeepBest Gaming,Middle,Main,LMU
KeepBest Gaming,Gold Lane,Main,Wawawa
KeepBest Gaming,Roamer,Main,Tracy
KeepBest Gaming,Jungler,Substitute,Peach
KeepBest Gaming,Roamer,Substitute, Tides
KeepBest Gaming,Coach,Coach,Webby
Xianyou Gaming,Exp,Main,Kielvj
Xianyou Gaming,Jungler,Main,Zzzed
Xianyou Gaming,Middle,Main,Yione
Xianyou Gaming,Gold Lane,Main,Loong
Xianyou Gaming,Roamer,Main,GodYang
Xianyou Gaming,Jungler,Substitute,CHMA
Xianyou Gaming,Coach,Coach,Guard
Xianyou Gaming,Analisis,Analisis,Little
HomeBois,Exp,Main,Sepat
HomeBois,Jungler,Main,Chibi
HomeBois,Middle,Main,Udil
HomeBois,Gold Lane,Main,Nets
HomeBois,Roamer,Main,Xorn
HomeBois,Roamer,Substitute,Mal
HomeBois,Coach,Coach,Pabz
HomeBois,Analisis,Analisis,Jeff
Entity7,Exp,Main,Markinho
Entity7,Jungler,Main,Hide on bush
Entity7,Middle,Main,Chan
Entity7,Gold Lane,Main,Furyy
Entity7,Roamer,Main,Erwin
Entity7,Flex,Substitute,Crissangel
Entity7,Coach,Coach,Blackjax
Entity7,Analisis,Analisis,Ericber
Brute Force,Exp,Main,Marbon
Brute Force,Jungler,Main,Mashiro
Brute Force,Middle,Main,Kodjik
Brute Force,Gold Lane,Main,blackMarch
Brute Force,Roamer,Main,Fangor
Brute Force,Flex,Substitute,ElGringo
Brute Force,Coach,Coach,Pao
Brute Force,Analisis,Analisis,Huskyler
S2G Esports,Exp,Main,Lunar
S2G Esports,Jungler,Main,Kazue
S2G Esports,Middle,Main,Begin
S2G Esports,Gold Lane,Main,Sigibum
S2G Esports,Roamer,Main,Qaro
S2G Esports,Substitute,Substitute,Arion
S2G Esports,Coach,Coach,Demigod
S2G Esports,Analisis,Analisis,Boranxcaglar
Zino Zenith,Exp,Main,Hehehehehehe
Zino Zenith,Jungler,Main,Jowga
Zino Zenith,Middle,Main,Shocker
Zino Zenith,Gold Lane,Main,Zippx
Zino Zenith,Roamer,Main,GNART
Zino Zenith,Exp,Substitute,Meow
Zino Zenith,Coach,Coach,Sabo
Trained to Kill,Exp,Main,Masarap
Trained to Kill,Jungler,Main,Yahiko
Trained to Kill,Middle,Main,Bobe
Trained to Kill,Gold Lane,Main,VVitch
Trained to Kill,Roamer,Main,APEX
Trained to Kill,Middle,Substitute, Nachz
Trained to Kill,Coach,Coach,Youngin
Trained to Kill,Analisis,Analisis,Basanta
IHC Esports,Exp,Main,Aizn
IHC Esports,Jungler,Main,Zxaura
IHC Esports,Middle,Main,Forbid
IHC Esports,Gold Lane,Main,Bebex
IHC Esports,Roamer,Main,Ethan
IHC Esports,Coach,Coach,Sparco
